identifier;location;series;inscription;original
PY Aa 95;PY;Aa;e-pi-jo-ta-na , ;e-pi-jo-ta-na MUL 8 ko-wa 8 ko-wo 7 DA 1 TA 1
PY Aa 98;PY;Aa;no-ri-wo-ko , ;no-ri-wo-ko MUL 8 ko-wa 10 ko-wo 5
PY Aa 240;PY;Aa;a-ra-ka-te-ja , ;a-ra-ka-te-ja MUL 21 ko-wa 25 ko-wo 4 TA 1
PY Aa 313;PY;Aa;o-ti-ri-ja , ;o-ti-ri-ja MUL 21 ko-wa 12 ko-wo 8 DA 1 TA 1
PY Aa 354;PY;Aa;ko-ro-ki-ja , ;ko-ro-ki-ja MUL 8 ko-wa 4 ko-wo 1 DA 1
PY Aa 506;PY;Aa;ku-te-ra3 , ;ku-te-ra3 MUL 28 ko-wa[
PY Aa 662;PY;Aa;pa-ke-te-ja , ;pa-ke-te-ja MUL 9 ko-wa 5 ko-wo 11
PY Aa 695;PY;Aa;ne-we-wi-ja , ;ne-we-wi-ja MUL 21 ko-wa 10 ko-wo 6 DA 1 TA 1
PY Aa 699;PY;Aa;ti-nwa-si-ja , ;ti-nwa-si-ja MUL 9 ko-wa 4 ko-wo 3 DA 1 TA [
PY Aa 701;PY;Aa;a-*64-ja , ;a-*64-ja MUL 35 ko-wa 11 ko-wo (1)4 DA 1 TA 1
PY Aa 717;PY;Aa;a-ke-ti-ri-ja , ;ro-u-so / a-ke-ti-ri-ja MUL 32 ko-wa 18 ko-wo 8 DA 1 TA 1
PY Aa 752;PY;Aa;me-ta-(pa) , ;me-ta-(pa) MUL 7 ko-wa 3 ko-wo 3 TA 1
PY Aa 762;PY;Aa;we-we-si-je-ja , ;ke-re-za / we-we-si-je-ja MUL 22 ko-wa 6 ko-wo 11 DA 1 TA 1
PY Aa 764;PY;Aa;me-re-ti-ri-ja , ;me-re-ti-ri-ja MUL 6 ko-wa 8 ko-wo 1
PY Aa 770;PY;Aa;ki-si-wi-ja , ;ki-si-wi-ja MUL 6 ko-wa 4 ko-wo 6 TA 1
PY Aa 772;PY;Aa;e-u-de-we-ro , ;e-u-de-we-ro MUL 6 ko-wo 4 TA 1
PY Aa 777;PY;Aa;o-pi-ro-qo , ;.a e-ke-ro-qo-no .b o-pi-ro-qo MUL 7 ko-wa 3 ko-wo 4 DA 1 TA 1
PY Aa 779;PY;Aa;me-ta-pa , ;me-ta-pa MUL 3 ko-wo 1 TA 1
PY Aa 783;PY;Aa;re-wo-to-ro-ko-wo , ;re-wo-to-ro-ko-wo MUL 38 ko-wa 13 ko-wo 15 DA 1 TA 1
PY Aa 785;PY;Aa;a-da-ra-te-ja , ;a-da-ra-te-ja MUL 1 TA 1
PY Aa 786;PY;Aa;ne-wo-pe-o , ;ne-wo-pe-o MUL 8 ko-wa ko-wo 2 TA 1
PY Aa 788;PY;Aa;ka-pa-ra2-de , ;ka-pa-ra2-de MUL 24 ko-wa 8 ko-wo 2 DA 1 TA 1
PY Aa 792;PY;Aa;ki-ni-di-ja , ;ki-ni-di-ja MUL 21 ko-(wa) 1 ko-wo 10 DA 1 TA 1
PY Aa 795;PY;Aa;pa-wo-ke , ;pa-wo-ke MUL 4 ko-wa 2 ko-wo 1 TA 1
PY Aa 798;PY;Aa;mi-ra-ti-ja , ;ro-u-so / mi-ra-ti-ja MUL 54 ko-wa 35 ko-wo 22 DA 1 TA 1
PY Aa 804;PY;Aa;a-pi-qo-ro , ;a-pi-qo-ro MUL 32 ko-wa 26 ko-wo 15 TA 1
PY Aa 807;PY;Aa;ra-wi-ja-ja , ;ke-re-za / ra-wi-ja-ja MUL 26 ko-wa 7 ko-wo 7 DA 1 TA 1
PY Aa 815;PY;Aa;a-ke-ti-ra2 , ;a-ke-ti-ra2 MUL 38 ko-wa 33 ko-wo 16 DA 1 TA 1
PY Aa 1180;PY;Aa;mi-ra-ti-ja , ;.a pu-ro , .b mi-ra-ti-ja MUL[
PY Aa 1182;PY;Aa;pi-we-re , ;pi-we-re MUL 7 ko-wo 2
PY Ab 186;PY;Ab;ra-mi-ni-ja , ;pu-ro / ra-mi-ni-ja MUL 7 ko-wa 1 ko-wo 2 GRA 2 T 4 TA DA NI 2 T 4
PY Ab 189;PY;Ab;ki-ni-di-ja , ;.A GRA 6 T 7 TA DA .B pu-ro ki-ni-di-ja MUL 20 ko-wa 10 ko-wo 10 NI 6 T 7
PY Ab 190;PY;Ab;ti-nwa-si-ja , ;pu-ro / ti-nwa-si-ja MUL 9 ko-[ ] 2 ko-wo 1 GRA 3 [ [T 9] ] DA TA NI 3 [ [T 9] ]
PY Ab 194;PY;Ab;o-nu-ke-ja , ;.A GRA 3 TA DA .B ]ki-si-wi[ ] o-nu-ke-ja MUL 7 ko-wa 3 ko-wo 6 NI 3
PY Ab 210;PY;Ab;a-pu-ko-wo-ko , ;.A GRA 3 T 6 (TA)[ .B a-pu-ko-wo-ko MUL 8 ko-wa 7 ko-wo 8 NI 3 T 6 [
PY Ab 217;PY;Ab;we-we-si-je-ja , ;pu-ro / ke-re-za we-we-si-je-ja MUL 16 ko-wa 5 ko-wo 7 GRA 5 T 1 TA (DA) NI 5 T 1
PY Ab 277;PY;Ab;o-wi-to-no , ;o-wi-to-no MUL 8 ko-wa 5 ko-wo 2 GRA 3 DA TA NI 3
PY Ab 355;PY;Ab;me-ta-pa , ;me-ta-pa MUL 5 [
PY Ab 356+;PY;Ab;ra-qi-ti-ra2 , ;.A GRA 2 T 2 DA .B pu-ro , ra-qi-ti-ra2 MUL 6 ko-wa 3 ko[ ]1 NI 2 T 2
PY Ab 372;PY;Ab;ko-ro-ki-ja , ;.A GRA 2 T 7 TA DA .B pu-ro ko-ro-ki-ja MUL 9 ko-wa 2 [ [ ko-wo ] ] NI 2 T 7
PY Ab 379;PY;Ab;e-u-de-we-ro , ;.A GRA 2 T 8 TA DA .B e-u-de-we-ro MUL 8 ko-wa 2 ko-wo 3 NI 2 T 8
PY Ab 382;PY;Ab;mi-ra-ti-ra , ;ro-u-so / mi-ra-ti-ra MUL 54 ko-wa 31 [ ] ko-wo 20 GRA 16 T 8 DA TA NI 16 T 8
PY Ab 388;PY;Ab;a-da-ra-te-ja , ;pu-ro a-da-ra-te-ja MUL (1) GRA T 4 NI T 4 TA
PY Ab 417+;PY;Ab;o-ti-ra2 , ;.A GRA 6[ .B pu-ro , o-ti-ra2 MUL 21 ko[ ] 8 NI 6 [
PY Ab 515;PY;Ab;a-*64-ja , ;.A GRA 10 DA TA .B pu-ro , a-*64-ja MUL 35 ko-wa 12 ko-wo 11 NI 10
PY Ab 554;PY;Ab;ne-wo-pe-o , (ko)-wo , ;.A GRA 2 (T)[ .B ne-wo-pe-o MUL 7 ko-wa 5 (ko)-wo NI (2)[
PY Ab 555;PY;Ab;ra-pi-ti-ra2 , ;pu-ro / ra-pi-ti-ra2 MUL 38 ko-wa 20 ko-wo 19 GRA 16 [ ] NI 16 [
PY Ab 558;PY;Ab;pa-wo-ke , ;pu-ro pa-wo-ke MUL 4 ko-wa 4 ko-wo 1 GRA 1 T 8 TA DA NI 1 T 8
PY Ab 563;PY;Ab;e-ke-ro-qo-no , ;pu-ro , e-ke-ro-qo-no MUL[
PY Ab 564;PY;Ab;a-ke-ti-(ra2) , ;(pu)-ro a-ke-ti-(ra2) MUL[
PY Ab 573;PY;Ab;mi-ra-ti-ja , ;.A GRA 5 T 1 DA TA .B pu-ro , mi-ra-ti-ja MUL 16 ko-wa 3 ko-wo 7 NI 5 1
PY Ab 578;PY;Ab;pe-ki-ti-ra2 , ;pu-ro / pe-ki-ti-ra2 MUL 7 ko-wa 4 ko-wo 4 GRA 2 T 4 TA NI 2 T 4
PY Ab 586;PY;Ab;ra-wi-ja-ja , ;pu-ro / ke-re-za ra-wi-ja-ja MUL 28 ko-wa 9 ko-wo (3) GRA 7 T 7 DA TA NI 7 T 7
PY Ab 745;PY;Ab;ri-ne-ja , ;.A GRA T 5 .B pa-ke-te-ja , ri-ne-ja MUL 2 ko-wo 1 NI T 5
PY Ab 746;PY;Ab;ri-ne-ja , ;.A GRA T 5 .B pa-ke-te-ja , ri-ne-ja MUL 2 ko-wa 1 NI T (5)
PY Ab 899;PY;Ab;o-pi-ro-qo , ;.A GRA 2 T 2 .B pu-ro , o-pi-ro-qo MUL 8 ko-wa 3 ko-wo 3 NI 2 T 2
PY Ac 1272;PY;Ac;o-pe-ro , ;]1 o-pe-ro VIR 8 [
PY Ac 1274;PY;Ac;o-pe-ro , ;]4 o-pe-ro VIR 13
PY Ac 1275;PY;Ac;pe-ti-ni-jo , o-pe-ro , ;pe-ti-ni-jo VIR (6)9 o-pe-ro VIR 1
PY Ac 1276;PY;Ac;o-pe-ro , ;pi-*82 o-pe-ro VIR 20 [
PY Ac 1277;PY;Ac;a-ke-re-wa , o-pe-ro , ;a-ke-re-wa VIR 10 o-pe-ro VIR 6
PY Ac 1278;PY;Ac;te-mi-ti-jo , o-pe-ro , ;te-mi-ti-jo VIR 17 o-pe-ro VIR [
PY Ac 1280;PY;Ac;me-ta-pa , o-pe-ro , ;me-ta-pa VIR 22 o-pe-ro VIR 7
PY Ad 290;PY;Ad;ko-wo , ;re-u-ko-to-ro / a-ke-ti-ra2-o ko-wo VIR 2 ko-wo
PY Ad 295;PY;Ad;ko-wo , ;ke-e (,) ri-ne-ja-o (,) ko-wo VIR 8 ko-wo 5
PY Ad 315;PY;Ad;ko-wo , ;pu-ro a-*64-ja-o ko-wo VIR[
PY Ad 318+;PY;Ad;ko-wo , ;pu-ro , ke[ ](za) , we-we-si-je-ja-o ko-wo VIR (8) ko-wo 7
PY Ad 326;PY;Ad;ko-wo , ;re-u-ko-to-ro / ri-ne-ja-o a-*64-ja-o ko-wo VIR 3 ko-wo 9
PY Ad 357;PY;Ad;ko-wo , o-pe-ro , ;ne-we-wi-ja-o ko-wo VIR 6 o-pe-ro VIR 3
PY Ad 663;PY;Ad;ko-wo , ;o-ti-ra2-o ko-wo VIR[
PY Ad 664;PY;Ad;ri-ne-ja-o , ;pu-ro ra-u-ra-ti-jo ze-pu2-ra-o ko-wo ri-ne-ja-o VIR 4 ko-wo 3
PY Ad 666;PY;Ad;ko-wo , ;pu-ro a-ke-ti-ra2-o ko-wo VIR 20 ko-wo 7 [
PY Ad 667;PY;Ad;ko-wo , ;pu-ro ra-qi-ti-ra2-o ko-wo VIR 2
PY Ad 668;PY;Ad;ko-wo , ;re-u-ko-to-ro ki-ma-ra-o ko-wo VIR 4
PY Ad 669;PY;Ad;ko-wo , ;re-u-ko-to-ro , no-ri-wo-ko-jo ko-wo VIR 5
PY Ad 670;PY;Ad;ko-wo , ;e-u-de-we-ro ri-ne-ja-o ko-wo VIR 4
PY Ad 671;PY;Ad;pa-ke-te-ja-o-qe , ;.A ka-ru-ti-je-ja-o-qe o VIR (5) .B pu-ro , a-pu-ko-wo-ko[ ]pa-ke-te-ja-o-qe VIR (3) ko-wo (4)
PY Ad 672;PY;Ad;ko-wo , ;e-pi-ko-e ri-ne-ja-o ko-wo VIR 4 ko-wo 3
PY Ad 675;PY;Ad;ko-wo , ;(pu)-(ro)[ ]ki-si-wi-ja-o o-nu-(ke)-(ja)-o ko-wo VIR 3 ko-wo 5
PY Ad 676;PY;Ad;ko-wo , ;pu-ro re-wo-to-ro-ko-wo ko-wo VIR 22 ko-wo 11
PY Ad 677;PY;Ad;ko-wo , ;pu-ro a-ra-ka-te-ja-o ko-wo VIR 30 ko-wo 9
PY Ad 678;PY;Ad;ko-wo , ;po-to-ro-wa-pi ri-ne-ja-o ko-wo VIR ko-wo 1 [
PY Ad 679;PY;Ad;ko-wo , o-pe-ro , ;.a ka-pa-ra2-do[ ] .b pu-ro ku-te-ra-o ko-wo VIR 6 [ [o-pe-ro VIR 8 ] ]
PY Ad 680;PY;Ad;ko-wo , ;.a pu-ro .b ko-ro-ki-ja-o ko-wo VIR 5
PY Ad 683;PY;Ad;ko-wo , ;pu-ro ki-ni-di-ja-o ko-wo VIR 5 ko-wo 4
PY Ad 684;PY;Ad;ko-wo , ;side 2 pu-ro ti-nwa-ti-ja-o i-te-ja-o ko-wo VIR 5 ko-wo 2
PY Ad 685;PY;Ad;ko-wo , ;o-wi-to-no to-sa-me-(ja)-o ko-wo VIR 3 ko-wo
PY Ad 686;PY;Ad;ko-wo , ;.a o-u-pa-ro-ke-ne-[ ]ka-wo-ta-ra[ ](po)-(ro) .b pu-ro ke-re-za , ra-wi-ja-ja-o[ ]ko-wo VIR 15
PY Ad 688;PY;Ad;ko-wo , ;ne-wo-pe-o ko-wo VIR 4 ko-wo 2 [
PY Ad 689;PY;Ad;ko-wo , ;.a a-so-qi[ ] .b pu-ro mi-ra-ti-ja-o ko-wo VIR 2 ko-wo
PY Ad 690;PY;Ad;ko-wo , ;pu-ro a-pi-qo-ro ko-wo VIR 10 ko-wo 4
PY Ad 691;PY;Ad;ko-wo , ;Bennett & Olivier 1973 .a e-ke-ro-qo-no-qe , pa-wo-ko-qe .b pu-ro o-pi-ro-qo ko-wo VIR 9
PY Ad 694;PY;Ad;ko-wo , ;pe-ki-ti-ra2-o ko-wo VIR 4 ko-wo 3
PY Ad 697 (+ 698?);PY;Ad;ko-wo , ;.a e-re[ ]qe-ro-me-no .b da-mi-ni-ja[ ](ri)-ne-ja-o ko-wo VIR
PY Ad 700;PY;Ad;ko-wo , ;]o ko-wo VIR (4) ko-wo [
PY Ad 921;PY;Ad;ko-wo , ;ko-ri-to te-pe-ja-o ko-wo VIR [ [(3)0] ] ko-wo 1
PY Ae 26;PY;Ae;pe-(me) , ;ko-ru-da-ro-jo , do-e-ro , o-pi , pe-(me) VIR 4[
PY Ae 72;PY;Ae;su-ra-se , ;.a tu-ra-te-u .b ko-ro-ja-ta , i-na-ni-ja , (su)-ra-te , du-ni-jo-jo , me-tu-ra su-ra-se VIR 1
PY Ae 134;PY;Ae;qe-to-ro-po-pi , ;.a o-ro-me-no .b ke-ro-wo , po-me , a-si-ja-ti-ja , o-pi ta-ra-ma-o qe-to-ro-po-pi VIR 1
PY Ae 142;PY;Ae;wo-we-u[] , ;wi-ja-da-ra , wo-we-u[]ko-wo VIR 1
PY Ae 303;PY;Ae;ku-ru-so-jo , ;.a i-je-ro-jo .b pu-ro , i-je-re-ja , do-e-ra , e-ne-ka , ku-ru-so-jo MUL 14[
PY Ae 344;PY;Ae;i-*65 , ;pi-(ro)-(wo)-na , wi-do-(wo)-i-jo , i-*65 VIR 1
PY Ae 574;PY;Ae;pe-re-ke-we , ;pe-re-ke-we VIR 1(3)
PY Ae 629;PY;Ae;]-ti , ;]-ti MUL 20[
PY Ae 765;PY;Ae;pe-re-ke-we , ;pe-re-ke-we VIR 13
PY Ae 995;PY;Ae;ko-to-ne-we , ;ko-to-ne-we VIR[
PY An 1;PY;An;ro-o-wa , ri-jo , po-ra-pi , te-ta-ra-ne , a-po-ne-we , ;e-re-ta , pe-re-u-ro-na-de , i-jo-te ro-o-wa VIR 8 ri-jo VIR 5 po-ra-pi VIR 4 te-ta-ra-ne VIR 6 a-po-ne-we VIR 7[ vacat x 2
PY An 5;PY;An;te-ko-to-a-pe , te-ko-to-a-pe , te-ko-to-a-pe , te-ko-to-a-pe , te-ko-to-a-pe , qe-re-me-ti-wo , mu-ta-pi , ;e-ta-je-u , te-ko-to-a-pe VIR 1 wi-do-wo-i-jo , te-ko-to-a-pe VIR 1 to-ro-wi-ka , te-ko-to-a-pe VIR 1 po-ru-to te-ko-to-a-pe VIR 1 o-tu te-ko-to-a-pe VIR 1 sa-ni-jo qe-re-me-ti-wo VIR 1 ku-ri-(sa)-to mu-ta-pi VIR 1 [ [ i-na-pi , ra-u-ta (2) VIR (1) ] ] vacat
PY An 18;PY;An;te-ko-to-na-pe , i-na-ni-ja , a-se-e , a-pe-o , i-na-ne , ti-no , te-[ , ;e-re-u-te-ri-[ te-ko-to-na-pe VIR [ i-na-ni-ja VIR 1[ ](ja) VIR [ (re)-(si)-we-i (VIR)[ ]1 a-se-e VIR 1 vacat te-re-ne-we , to-ko-do-mo a-pe-o VIR 1 i-na-ne VIR 1 te-ko-to-na-pe 1 vacat qo-u-ko-ro ti-no VIR 90 vacat pa-ka-ja-si , to-so , te-[ VIR 254[ ] vacat
PY An 35;PY;An;pu-ro , me-te-to-de , sa-ma-ra-de , re-u-ko-to-ro , o-no , ;to-ko-do-mo , de-me-o-te pu-ro VIR 2 me-te-to-de VIR 3 sa-ma-ra-de VIR 3 re-u-ko-to-ro VIR 4 vacat a-ta-ro , tu-ru-pte-ri-ja , o-no LANA 2 CAPf 4 *146 3 VIN 10 NI 4
PY An 39;PY;An;pu-ka-wo , me-ri-du-ma-te , mi-ka-ta , o-pi-te-u-ke-e-we , e-to-wo-ko , ka-sa-to , pu-ka-wo , me-ri-da-ma-te , te-u-ke-e-we , ]-ta , ]-wo-ko , a-to-po-qo , ;pu-ka-wo VIR 16 me-ri-du-ma-te VIR 10 mi-ka-ta VIR 3 o-pi-te-u-ke-e-we VIR 4 e-to-wo-ko VIR 5 ka-sa-to VIR pu-ka-wo VIR 23 me-ri-da-ma-te , VIR 6 te-u-ke-e-we , VIR 5 ]-ta , VIR 6 ]-wo-ko , VIR 3 a-to-po-qo VIR 3 ] vacat
PY An 101;PY;An;]-mo , ;]-mo VIR 1 po-me [ . . ] VIR 1 ] vacat
PY An 115;PY;An;a-ma-to-wo , ;sup. mut. ]VIR 1 e-pi-ja-ta (VIR)[ ]a-ma-to-wo VIR 1 sa-ri[ ] vacat x 2 [
PY An 128;PY;An;ka-ta , po-ru-qo-to , ka-si-ko-no , ;]ka-ta VIR 41 ]ka-ta , po-ru-qo-to VIR 6 ke-re-te , ka-si-ko-no VIR 5 vacat x 6 GRA 2 T 6 V 5 Z 2 ]2 T 6 V 5 ] vacat x 3 [
PY An 129;PY;An;a-ta-ro-we , pe-re-wa-ta , pu-ro-jo , ri-na-ko-ro , a-so-na , we-ro-ta , ;](pa)-ro , ti-ki-jo a-ta-ro-we VIR 1 pe-re-wa-ta VIR 1 za-mi-jo , pu-ro-jo VIR 10 to-ro-wo , ri-na-ko-ro VIR 1 ka-nu-ta-jo , a-so-na VIR 1 pa-ro , ka-ke-u-si , we-ro-ta VIR vacat x 2
PY An 172;PY;An;e-ro-ma-to , e-ro-ma-to , e-ro-ma-to , e-ro-ma-to , e-ro-ma-to , a-we-u-pi , a-we-u-pi , ;]ra-pte , wo-wi-ja-ta ] , pe-re-ku-ta ]ki-jo-qe-u , e-ro-ma-to , VIR 1 ]mi-to-no , e-ro-ma-to , VIR 1 mu-ko , e-ro-ma-to VIR 1 da-ka-sa-na-ta , e-ro-ma-to VIR 1 di-wo e-ro-ma-to VIR 1 sa-ri-qo-ro , a-we-u-pi VIR 1 ma-ta-i , a-we-u-pi VIR 1 ]-a2-ta , ro-o-wa [ o-(nu)[ ] ta-ra-ke-wi[ ] VIR 1 vacat x 2
PY An 192;PY;An;a-pi-a2-ro , (a)-e-ri-qo , du-ma , au-ke-wa , a-no-ke-wa , ko-ro-ze-ka , a-e-ri-qo-ta , ka-ra-u-ro , a-ta-wo , ta-ra-to , me-to-qe-u , ke-ki , ka-wi-jo , ki-du-ro , qa-ra2 , ;a-pi-a2-ro VIR 1 (a)-e-ri-qo VIR 1 du-ni-jo , du-ma VIR 1 au-ke-wa VIR 1 du-ni-jo , a-no-ke-wa VIR 1 ko-ro-ze-ka VIR 1 a-e-ri-qo-ta VIR 1 [ ka-ra-u-ro VIR 1 a-ta-wo VIR 1 ta-ra-to VIR 1 [ [ VIR 1 ] ] me-to-qe-u VIR 1 pe-re-qo-ta , pa-da-je[ ] VIR 1 a-no-ke-we , ke-ki VIR 1 a-ke-o , ka-wi-jo VIR 1 ki-du-ro VIR 1 qa-ra2 VIR 1 vacat
PY An 199;PY;An;e-ke-ro-qo-no , a-ro-po , ;e-ke-ro-qo-no VIR 12 ko-wo 1 a-ro-po VIR 3 ko-wo 1[
PY An 207+;PY;An;pi-ri-je-te-re , a-de-te-re , ke-ra-me-we , da-ko-ro , po-ku-ta , ku-ru-so-wo-ko , (ko)[] , to-ko-so-wo-ko , ra-pte-re , ra-pte-re , ;.4 ] VIR 10 .5 ] pi-ri-je-te-re VIR 2 .6 ]ne , a-de-te-re VIR 2 .7 re-ka[ ]ne , ke-ra-me-we VIR 2 .8 re-ka-ta-ne , da-ko-ro VIR 12 .9 wa-a2-te-we , po-ku-ta VIR 10 .10 a-nu-wa , ku-ru-so-wo-ko VIR 4 .11 ](ko)[]me-ri-da-ma-te VIR 2 .12 ]-jo , to-ko-so-wo-ko VIR (5)[ .13 a-pi-no[ ] VIR [ .14 so-ro-pe-o , ra-pte-re [ .15 ko-ri-si-jo[]ra-pte-re [ .16 ka-ro-ke-e , ra-pte-re [ .17 ra-ni-jo-ne , ra-pte-re VIR [ .18 ]ka-si-da , ra-pte-re VIR 20[ .19 ] vacat [
PY An 209;PY;An;ra-mi-ni-jo , a2-ta , o-pe-re-ta , a-ke-ti-jo , do-ro-me-u , te-wa-ko-no , i-na-o , mi-ko-no , a-e-ri-qo-ta , ta-nu-ko , to-ke-u , da-na-ko , re-a-mo , ;ko-ri-si-jo , ta-te-re ra-mi-ni-jo VIR 1 a2-ta VIR 1 o-pe-re-ta VIR 1 a-ke-ti-jo VIR 1 do-ro-me-u VIR 1 te-wa-ko-no VIR 1 i-na-o VIR 1 mi-ko-no VIR 1 a-e-ri-qo-ta VIR 1 ta-nu-ko VIR 1 to-ke-u VIR 1 da-na-ko VIR 1 re-a-mo VIR 1
PY An 233+;PY;An;(za)-te-(o) , ]-ne , ]-so-na-pe , se-wo-te , ;](za)-te-(o) VIR 2[]4[ ](VIR) 2(8) [ ]8 a-mi-ni-so [ ]-ne VIR 6[ ] VIR 14 (ko)-tu-we[ ]-so-na-pe VIR []4[ ]se-wo-te VIR 2 to-[ ] VIR 16(5)[
PY An 261;PY;An;a3-nu-me-no , qo-te-ro , ku-(te)-(re)-u , o-wo-to , a-ra-i-jo , ri-zo , wa-ne-u , (a3)-(so)-ni-jo , ;]-(we) , ke-'ke-tu-wo-e' o-two-we-o , ke-ro-si-ja a3-nu-me-no VIR (1)[ o-two-we-o , ke-ro-si-ja qo-te-ro VIR[ o-two-we-o , ke-ro-si-ja a2-e-ta [ o-two-we-o , ke-ro-si-ja (,) o-du-*56-ro [ a-pi-jo-(to) , ke-ro-si-ja , ku-(te)-(re)-u VIR[ a-pi-jo-to , ke-ro-si-ja , o-wo-to VIR 1 a-pi-jo-to , ke-ro-si-ja , a-ra-i-jo VIR 1 a-pi-jo-to , ke-ro-si-ja , ri-zo VIR 1 ta-we[ ](jo) , ke-ro-si-ja , (wa)-[ ] VIR 1 ta-we-(si)[ ]jo , ke-ro-si-ja , [ ] VIR 1 ta-we-si-(jo)-jo , ke-ro-si-ja [ ]wa-ne-u VIR 1 a-pi-qo[ ] , ke-ro-si-ja , (a3)-(so)-ni-jo VIR (1) (a)[ ] ke-ro-si-ja , a[ ]te VIR[ ]ke-ro-si-ja , a[ ] VIR 1 ](si)-(ja) , [ . . ]-ka-[ . ] VIR 1 ](si)-ja , o-(pa)-[ vacat x 3
PY An 292;PY;An;ka-pa-ra2-de , ;si-to-ko-wo ka-pa-ra2-de MUL 24 ko-wo 10 ko-ro-ki-ja[ ] MUL 8 ko-wo[ ki-ni-di-[ ] 21 (ko)[
PY An 298;PY;An;ra-pte-re , ra-pte-re , ki-ri-se-we , we-re-ka-ra-ta , ;ra-wa-ra-ta2 , u-pa-ra-ki-ri-(ja) , ra-pte-re VIR 1[ po-ti-ja-ke-e , ra-pte-re VIR 1 ki-ri-se-we VIR[ we-re-ka-ra-ta VIR 20 [
PY An 299;PY;An;(we)-jo , ;]ta VIR [ ](we)-jo , VIR[]4[
PY An 340;PY;An;a-ta-(o) , ka-wa-ti-ro , te-u , ]-ja-do-ro , ]-te-u , ]-a2-ko , wo-ti-jo , te-pe-u , pu-ti-ja , a-re-(wo) , a-no-ra-ta , ;pa-ro , a-ta-(o) VIR[]6[ a-ta-o , ka-wa-ti-ro VIR 1 [ a-ta-o , wi-ri-wo[ ]VIR 1 a-ta-(o)[ ]te-u VIR[ (a)[ ]-ja-do-ro VIR 1 ] , [ ]-te-u VIR 1 a-ta-o , pu[ ]-a2-ko VIR 1 a-ta-o , wo-ti-jo VIR 1 a-ta-o , te-pe-u VIR 1 a-ta-o , pu-ti-ja VIR 1 a-ta-o , a-re-(wo) VIR 1 a-ta-o , a-no-ra-ta VIR (1) a-ta-o , a-wa-ta (VIR)[ a-ta-o , ka-u-ti-(wa) (VIR)[ ] vacat x 2 [
PY An 424;PY;An;ra-pte-re , pu-ka-(wo) , ra-pte-re , ra-pte-re , me-ri-du-ma-te , da-ko-ro , ;(pi)[ ] ra-pte-re VIR 12 pu-ka-(wo) VIR 6 te-u-ta-ra-ko-ro[ ka-ra-(do)-ro , ra-pte-re VIR[ ]1 sa-ri-nu-wo-te , ra-pte-re VIR 10[ ke-ra-ti-jo-jo , wo-wo , me-ri-du-ma-te VIR 2 da-ko-ro VIR 2 [
PY An 427;PY;An;da-ko-ro , me-ri-du-ma-te , a-to-po-qo , pu-ka-wo , ;a-pu2-we , da-ko-ro VIR 5 e-ri-no-wo[ pa-ko , me-ri-du-ma-te VIR 5 a-ke-(re)[ a-to-po-qo VIR 2 pi-[ . ]-te , pu-ka-wo VIR 3 [
PY An 594;PY;An;me-ri-du-ma-te , mi-ka-ta , ;ma-ri-ti-wi-jo X VIR 1 pu-ka-wo X VIR 10 me-ri-du-ma-te VIR 4 mi-ka-ta VIR 1 X
PY An 607;PY;An;te-re-te-we , ;.1a -ja .1b me-ta-pa , ke-ri-mi-ja , do-qe-ja , ki-ri-te-wi- .2 do-qe-ja , do-e-ro , pa-te , ma-te-de , ku-te-re-u-(pi) .3 MUL 6 do-qe-ja , do-e-ra , e-qe-ta-i , e-e-to , .4 te-re-te-we MUL [ [ 6 ] ]'13' .5 do-qe-ja , do-e-ro , pa-te , ma-te-de , di-wi-ja , do-e-ra , .6 MUL 3 do-qe-ja , do-e-ra , ma-te , pa-te-de , ka-ke-u , .7 MUL 1 do-qe-ja , do-e-ra , ma-te , pa-te-de , ka-ke-u , .8 MUL 3 .9 vacat .10 vacat .11 ka .12 vacat .13 vacat .14 vacat
PY An 610;PY;An;ki-ti-ta , ]-ta , ]-(ki)-ti-ta , (me)-(ta)-ki-ti-ta , e-wi-ri-po , a-ke-re-wa , ri-jo , te-ta-ra-ne , a-po-ne-we , ma-ra-ne-nu-we , ]-ku-si-jo , za-e-to-ro , da-mi-ni-jo , e-ke-ra2-wo-no , we-da-ne-wo , ko-ni-jo , me-ta-ki-ti-ta , po-ku-ta , te-qa-ta-(qe) , ;]-ne e-re-ta ]-e ki-ti-ta VIR 46 [ ]-ta VIR 19 ]-(ki)-ti-ta VIR 36 (me)-(ta)-ki-ti-ta VIR 3 e-wi-ri-po VIR 9 po-si-ke-te-re [ a-ke-re-wa VIR 25 wo-qe-we [ ri-jo VIR 24 wi-nu-ri-jo[ te-ta-ra-ne VIR 31 me-ta-(ki)[ a-po-ne-we VIR 37 me-ta-[ ma-ra-ne-nu-we VIR 40 po-ti-ja-ke-e (VIR) (6) ]-ku-si-jo VIR 8 za-e-to-ro VIR 3 da-mi-ni-jo VIR 40 e-ke-ra2-wo-no VIR 40 we-da-ne-wo VIR 20 ko-ni-jo VIR 126 me-ta-ki-ti-ta VIR 26 po-ku-ta VIR 10 we-re-ka-ra , te-qa-ta-(qe) VIR 20 vacat
