identifier;location;series;inscription;original
KN Ak 610;KN;Ak;ko-wa , me-zo-e , ko-wa , ko-wo , ko-wo , me-wi-jo , ;]TA 1 DA 1 MUL 10 de MUL 1 ] ko-wa / me-zo-e 3 de , ko-wa 1 ] ko-wo / (me)[ ] 1 ko-wo / me-wi-jo 2
KN Ak 611;KN;Ak;to-te-ja , (de)-di-ku-ja , ko-wa , me-zo-e , ko-wo , me-wi-jo , ;to-te-ja , TA 2 DA 1 MUL 10[ ](de)-di-ku-ja MUL 1[ ko-wa , / me-zo-e 4 [ ] ko-wo , me-wi-jo (1)[ vacat [
KN Ak 612;KN;Ak;ko-wa , me-zo , ko-wa , me-u-jo , da-te-we-ja , ko-wo , me-zo , (ko)-(wo) , ;.A TA 1 'DA 1' MUL 9 .B ko-wa , / me-zo 1 ko-wa / me-u-jo 1 .C da-te-we-ja / ko-wo / me-zo 1 [ [ (ko)-(wo) / (me)- ] ]
KN Ak 613;KN;Ak;qa-mi-ja , ko-wa , me-u-jo-e , ko-wo , ;qa-mi-ja , / TA 1 'DA 1' (MUL)[ ko-wa , / me-u-jo-e 9 ko-wo[ lat. sup. ](7) T 1 [
KN Ak 614;KN;Ak;ko-wa , me-zo-e , ko-wa , me-u-(jo) , ko-wo , me-zo , ko-wo , me-u-jo , ;.A ] TA 2 MUL 30 pa di 4 [ .B ] ko-wa / me-zo-e 5 ko-wa / me-u-(jo)[ .C ] ko-wo , / me-zo 1 ko-wo / me-u-jo 2[
KN Ak 615;KN;Ak;a-no-qo-ta , ko-wa , me-zo-e , ko-wa , me-(u) , ko-wo , me-(zo)-e , ko-wo , me-u-(jo) , (a)-pe-a-(sa) , ;]a-no-qo-ta MUL 30 [ ] ko-wa , me-zo-e 6 ko-wa , me-(u)[ ] ko-wo me-(zo)-e (3) ko-wo me-u-(jo)[ lat. inf. ](a)-pe-a-(sa) 2(4)[
KN Ak 616;KN;Ak;u-jo-e , me-u-jo-e , ;](3)6 pe 'di' MUL 2 di 'za' MUL 2 [ ]u-jo-e 8 ] me-u-jo-e 13
KN Ak 617;KN;Ak;me-zo-e , ko-wa , me-u-jo , (me)-zo-e , ko-wo , me-u-jo , ;]TA 2 MUL 73 au MUL (1)[ ] me-zo-e 13 ko-wa , / me-u-jo[ ](me)-zo-e 12 ko-wo / me-u-jo[
KN Ak 619 + 5633 + 5963 + 6010 + 8258 + 8687;KN;Ak;ko-wa , me-zo-e , jo-e , ko-wo , ko-wo , me-zo-e , ko-wo , me-wi-jo-e , ;](1) (MUL) 22 pa di 3 [ ] ko-wa me-zo-e 4 [ ](wa)[ ]jo-e 5 ko-wo di 2 [ ] ko-wo / me-zo-e 1[ ] ko-wo me-wi-jo-e 2 [
KN Ak 620 + 6028;KN;Ak;ko-wa , ko-wa , ke-ja , ko-wo , ;.A ] TA 2 'DA [ ]' MUL 14[ .B ] ko-wa di 1 ko-wa [ .C ]ke-ja / ko-wo , de 1 [
