identifier;inscription;numberOfCharacters
KN Da 1221;a3-ta-ro-we , *56-ko-we , ;2
KN Da 1238;ku-ka-ro , ti-ri-to , ;2
KN Da 1253+;tu-ni-ja , *34-zo , pe-ri-qo-te-jo , ;3
KN Da 1268;qa-ra , se-wo-to , ;2
KN Da 1273+;ne-u , e-ko-so , ;2
KN Da 1275+;ka-ma-to , e-ko-so , ;2
KN Da 1276+;to-tu-no , e-ko-so , ;2
KN Da 1277+;ru-na-mo , e-ko-so , ;2
KN Da 1288;mo-ni-ko , ru-ki-to , ;2
KN Da 1289;a-no-qo-ta , ru-ki-to , ;2
KN Da 1293;ka-mo-ni-jo , ru-ki-to , ;2
KN Da 1299;(ki)-ri-jo-(te) , e-u-ko-ro , do-ti-ja , ;3
KN Da 1313+;ku-mo-no-so , da-wo , ;2
KN Da 1314;te-ra-po-si-jo , po-i-ti-jo , da-wo , ;3
KN Da 1315+;u-ra-mo-no , da-wo , ;2
KN Da 1317+;da-i-ze-to , qa-mo , u-ta-jo-jo , ;3
KN Da 1321+;su-ta-no , ra-to , pe-ri-qo-te-jo , ;3
KN Da 1323+;a-no-qo , ke-ti-ro , e-ra , ;3
KN Da 1333+;e-ra , pu-to-ro , pe-ri-qo-te-jo , ;3
KN Da 1338+;te-mi-ro , di-ro , ;2
KN Da 1339+;si-ki-to , pu-so , ;2
KN Da 1341+;(ni)-jo , ]-no-qa-ta , (i)-to , ;3
KN Da 1343+;ta-pe-ro , e-(ra) , ;2
KN Da 1350+;ka-ne-u-ta , a-ka , ;2
KN Da 1351+;qa-na-no-to , ;1
KN Da 1352+;(u)-ta-jo-jo , ]-ti-jo , pa-i-to , ;3
KN Da 1353+;a-ri-ko , da-*22-to , ;2
KN Da 1355;di-ro , ;1
KN Da 1363+;ki-*18-i-so , qa-ra , ;2
KN Da 1365+;]-jo , ki-ri-jo-te , ;2
KN Da 1378+;u-ta-jo , wi-ja-ma-ro , pa-i-to , ;3
KN Da 1380+;te-ru-ro , da-*22-to , ;2
KN Da 1382+;u-ta-jo , mi-ni-to , ri-(jo)-no , ;3
KN Da 1384+;u-ta-jo , ti-ri-jo-ko-so , (*56)-ko-we , ;3
KN Da 1390+;e-u-mo , ra-to , ;2
KN Da 1392+;a-te-jo , ku-ke-to , se-to-i-ja , (au)-to , ;4
KN Da 1394+;ku-ta-si-jo , (ti)-ri-to , ;2
KN Da 1396+;ku-ne-u , da-wo , ;2
KN Da 1401+;]-wi , da-*22-to , ;2
KN Da 1415+;u-ta-jo , ri-ma-zo , tu-ni-ja , ;3
KN Da 1420+;we-we-si-jo , da-ja-ro , ru-ki-to , ;3
KN Da 1435+;ki-ki-jo , ku-ta-to , ;2
KN Da 1445+;wa-du-ka-sa-ro , ;1
KN Da 1451+;ka-jo , ku-ta-to , ;2
KN Da 1461+;ma-ri-ti-wi-jo , (*56)-ko-we , ;2
KN Da 1485+;ki-sa-nu-mo , ri-jo-no , ;2
KN Da 1495+;qo-te-ro , pa-i-to , ;2
KN Da 1588+;ta-*49-ro , pu-na-so , ;2
KN Da 2005+;a-ka , ;1
KN Da 2027;ku-ta-to , ;1
KN Da 5038+;tu-ni-ja , ;1
KN Da 5179+;ti-ko-ro , ku-ta-to , ;2
KN Da 5192+;su-se , ra-to , ;2
KN Da 5193+;wi-ra-ne , ku-ta-to , ;2
KN Da 5195+;po-ka-ro , pu-so , ;2
KN Da 5204+;ki-(ri) , a-nu-mo , ;2
KN Da 5205+;a3-(ke)-wa-ta , ri-jo-no , ;2
KN Da 5213+;ki-(ri)-jo-te , ra-su-to , ;2
KN Da 5214+;ku-i-so , ri-jo-no , ;2
KN Da 5217+;pi-ki-nu-wo , ra-to , ;2
KN Da 5218+;ze-ro , e-(ko)-so , ;2
KN Da 5220+;ku-ta-to , ;1
KN Da 5223+;a-da-ra-ro , da-wo , ki-ri-jo-te , ;3
KN Da 5225;]-to , ;1
KN Da 5234;wi-ro-jo , pu-na-so , ;2
KN Da 5244;;1
KN Da 5245+;ki-ri-jo-te , e-ko-so , ;2
KN Da 5251;;1
KN Da 5252+;da-wo , ;1
KN Da 5270;;1
KN Da 5295+;me-to-re , ra-su-to , ;2
KN Da 5308+;te-u , ku-ta-to , ;2
KN Da 5317;ra-ja , (pe)-(ri)-(qo)-(te) , ;2
KN Da 5356+;;1
KN Da 5427;;1
KN Da 5576+;ki-so , e-ra , u-ta-jo-jo , ;3
KN Da 5709;u-ta-jo-jo , ;1
KN Da 6061;a3-to , ri-jo-no , ;2
KN Da 7080;*56-ko-we , ;1
KN Da 7081;(ri)-jo-te , ;1
KN Da 7090;da-*22-to , ;1
KN Da 7109+;u-ta-jo-jo , ;1
KN Da 7165+;si-jo , ;1
KN Da 7185;;1
KN Da 7186;;1
KN Da 7213;;1
KN Da 8201;(we)-(we) , (ta)-(i)-po , pa-i-to , ;3
KN Da 8228;(u)-(ta)-(jo)-jo , ]-(nwa)-jo , da-(wo) , ;3
KN Da 8355;]-ki-si-wo , ra-su-to , ;2
KN Da 8385+;tu-ri-so , ;1
KN Da 8434;;1
KN Db 1097;ta-za-ro , u-ta-no , ;2
KN Db 1099;a-wa-so , qa-mo , ;2
KN Db 1105+;a3-ku-pi-ti-jo , su-ri-mo , ;2
KN Db 1110;qa-si-da-ro , ku-ta-to , ;2
KN Db 1115;ku-ta-to , ;1
KN Db 1126+;no-ta-na , ku-ta-to , ;2
KN Db 1140+;qi-ja-to , qa-ra , u-ta-jo-jo , ;3
KN Db 1159;we-we-si-jo-jo , du-ta-so , pa-i-to , ;3
KN Db 1160+;we-we-si-jo-jo , a-qe-mo , pa-i-to , ;3
KN Db 1155+;we-we-si-jo , wi-jo-ka-de , da-wo , ;3
KN Db 1165+;we-we-si-jo , ra-ko , da-ra-ko , ;3
KN Db 1166;we-we-si-jo , au-ta , di-ro , ;3
KN Db 1168+;we-we-si-jo-jo , ma-di , e-ko-so , ;3
KN Db 1185;(pa)-ru , ra-to , ;2
KN Db 1186;i-mi-ri-jo , ra-to , ;2
KN Db 1192+;(pe)-ri-qo-te-jo , ra-to , ;2
KN Db 1196+;pa-u-ro , ra-su-to , ;2
KN Db 1198+;ta-na-po-so , ra-su-to , ;2
KN Db 1204+;qe-ro , ri-jo-no , ;2
KN Db 1208+;ra-so , ri-jo-no , ;2
KN Db 1211+;ru-ka-*18 , ri-jo-no , ;2
KN Db 1212+;da-wi , ri-jo-no , ;2
KN Db 1225+;wi-na-jo , *56-ko-we , ;2
KN Db 1227;sa-nu-we-ta , *56-ko-we , ;2
KN Db 1232;na-pu-ti-jo , ti-ri-to , pe-ri-qo-te-jo , ;3
KN Db 1236;a-ra-ko , ti-ri-to , ;2
KN Db 1241;(o)-te-se-u , tu-ri-so , ;2
KN Db 1242;wa-du-na-ro , tu-ri-so , ;2
KN Db 1245+;ra-wi-zo , tu-ri-so , ;2
KN Db 1246;a-wa-so , tu-ni-ja , ;2
KN Db 1247;ta-za , tu-ni-ja , ;2
KN Db 1250+;tu-ni-ja , ;1
KN Db 1261;a-no-ke-we , qa-ra , ;2
KN Db 1262+;sa-ze-ro , qa-ra , ;2
KN Db 1263;te-ra-po-si-jo , ka-mo , (qa)-[ , ;3
KN Db 1265+;u-ra-jo , qa-ra , ;2
KN Db 1267+;ko-ri-jo , qa-ra , ;2
KN Db 1274+;je-zo , e-ko-so , ;2
KN Db 1279;tu-qa-ni-ja-so , ru-ki-to , ;2
KN Db 1282;wi-na-jo , ru-ki-to , ;2
KN Db 1295+;a3-ke-wa-to , ru-ki-to , ;2
KN Db 1297;qa-da-so , ru-ki-so , ;2
KN Db 1302;(da)-nwa-re , do-ti-ja , ;2
KN Db 1304;na-ru , do-ti-ja , ;2
KN Db 1305;wi-jo-qo-ta , do-ti-ja , ;2
KN Db 1324;da-na-jo , su-ki-ri-ta , ;2
KN Db 1327+;ki-mu-ku , su-ki-ri-ta , ;2
KN Db 1329+;a-te-jo , u-ra-jo , qa-sa-ro-we , ;3
KN Db 1340+;ra-ro , su-ri-mo , ;2
KN Db 1344+;we-we-si-jo-jo , ]-tu-to , pa-i-to , ;3
KN Db 1367+;e-wa-ra-jo , do-ti-(ja) , ;2
KN Db 1368+;[[tu-ma-da-ro]] , da-wo , ;2
KN Db 1372;;1
KN Db 1373+;pa-ra-to , da-*22-to , ;2
KN Db 1389+;e-u-ko-ro , ti-ri-to , ;2
KN Db 1423+;*56-ri-to , ru-ki-to , ;2
KN Db 1426+;de-ke-se-u , do-ti-ja , ;2
KN Db 1449+;ka-ni-to , ;1
KN Db 1460+;u-ta-jo , ma-di-qo , da-wo , ;3
KN Db 1464+;we-we-si-jo-jo , a-nu-ko , pa-i-to , (ki)-(ri)-jo-te , ;4
KN Db 1507;na-wi-ro , pa-i-to , ;2
KN Db 2020+;ru-wo-i-ko , su-ri , ;2
KN Db 5041+;(tu)-ni-ja , ;1
KN Db 5212+;o-(na)-ja , ra-to , ;2
KN Db 5231+;(*49)-wo , ra-to , ;2
KN Db 5272+;ki-ri-jo-te , ru-ta , ;2
KN Db 5274+;;1
KN Db 5310+;e-(qa)-jo , ku-ta-to , ;2
KN Db 5352+;ko-ti , ku-ta-to , ;2
KN Db 5359+;u-ta-jo , ]-ma-na-so , ra-su-to , ;3
KN Db 5367+;u-ro2 , ra-to , ;2
KN Db 5385;;1
KN Db 5680;e-ra , ;1
KN Db 5715+;]-ti-jo , da-*22 , ;2
KN Db 7107+;;1
KN Db 7108+;;1
KN Db 7118+;qa-na-no-to , ;1
KN Db 7164;ta-jo-jo , ;1
KN Db 7172+;(i)-(pa)-[ , ]-to , ;2
KN Db 7211;;1
KN Db 8352;si-ra-ko , ra-ja , ;2
KN Db 8360;]-zo , ra-su-to , ;2
KN Dc 926;pu-so , ;1
KN Dc 1117;da-mi-ni-jo , wa-*86-re , ku-ta-to , ;3
KN Dc 1118;da-mi-ni-jo , wa-du-na-ro , ku-ta-to , ;3
KN Dc 1122+;da-mi-ni-jo , a-nu-ko , ku-ta-to , ;3
KN Dc 1129;u-ta-jo , po-ro-u-te-u , da-*22-to , ;3
KN Dc 1130;u-ta-jo , ta-ra-to-no , da-*22-to , ;3
KN Dc 1148;ma-ro , da-*22-to , ;2
KN Dc 1154+;we-we-si-jo-jo , wo-*82-ni-jo , da-wo , ;3
KN Dc 1167+;we-we-si-jo-jo , da-ja-ro , di-ro , ;3
KN Dc 1203+;pa-ja-so , ra-ja , ;2
KN Dc 1220+;da-ra-mu-ro , *56-ko-we , ;2
KN Dc 1228+;no-da-ro , *56-ko-we , ;2
KN Dc 1270;a-ku-di-ri-jo , e-ko-so , ;2
KN Dc 1298;ki-ri-jo-te , a-te-mo , e-ra , ;3
KN Dc 1303;a-te-jo , de-ni-mo , do-ti-ja , ;3
KN Dc 1337+;a-te-jo , ku-ka-no , pu-na-so , ;3
KN Dc 1359+;e-ra-to , (*56)-(ko)-(we) , ;2
KN Dc 1364+;se-me-tu-ro , e-ra , ;2
KN Dc 1369+;u-ta-jo , ra-ja , ;2
KN Dc 1403+;wi-*65-te-u , *56-ko-we , ;2
KN Dc 1419+;da-*83-jo , ;1
KN Dc 1515+;qi-nwa-so , da-wo , ki-ri-jo-(te) , ;3
KN Dc 5030;;1
KN Dc 5190+;de-a-ta , *56-ko-we , ;2
KN Dc 5228+;wo-wo , ku-ta-to , ;2
KN Dc 5250+;;1
KN Dc 5392+;;1
KN Dc 5677+;pu-da-so , ru-ki-to , ;2
KN Dc 5687+;a-te , (to)-ro , se-to-i-ja , ;3
KN Dc 5771;*56-ko-we , ;1
KN Dc 5812+;ri-jo-te , su-po , ;2
KN Dc 7161+;u-ta-jo-jo , ]-to , ku-ta-to , ;3
KN Dc 8080;pe-ko , ru-ki-(to) , ;2
KN Dc 8294;po-[ , ;1
KN Dc 8354;du-to , (ru)-ki-to , ;2
KN Dd 659+;e-ke-me-de , tu-ni-ja , ;2
KN Dd 1106+;re-me-to , su-ri-mo , ;2
KN Dd 1144+;e-(ra) , u-ta-jo-jo , ;2
KN Dd 1149;e-u-ko-ro , da-*22-to , ;2
KN Dd 1150;qa-ra-su-ti-jo , da-*22-to , ;2
KN Dd 1157;we-we-si-jo-jo , a-wo-ti-jo , pa-i-to , ;3
KN Dd 1171;po-ro , pa-i-to , ;2
KN Dd 1193+;du-ro , ra-to , ;2
KN Dd 1201;du-ni , ra-ja , ;2
KN Dd 1207+;o-ne-u , ri-jo-no , ;2
KN Dd 1218;o-wi-ro , *56-ko-we , ;2
KN Dd 1244;tu-ri-so , ;1
KN Dd 1271+;du-ni , e-ko-so , ;2
KN Dd 1281;pa-ti , ru-ki-to , ;2
KN Dd 1283;qa-sa-ko , ru-ki-to , ;2
KN Dd 1284;wi-su-ro , ru-ki-to , ;2
KN Dd 1286;u-wa-ta , ru-ki-to , ;2
KN Dd 1291;qi-zo , ru-ki-to , ;2
KN Dd 1296+;ma-ra-pi-jo , ru-ki-to , ;2
KN Dd 1300;ra-u-ra-ta , do-ti-ja , ;2
KN Dd 1306+;ku-ke-so , do-ti-ja , ;2
KN Dd 1342;ra-to-jo , pa-i-to , ;2
KN Dd 1366+;da-wo , ;1
KN Dd 1374+;ma-ta-u-ro , ri-jo-no , ;2
KN Dd 1376+;po-me , pu-na-so , ;2
KN Dd 1402+;wi-da-ka-so , su-ri-mo , ;2
KN Dd 1418+;po-ri-[ , ;1
KN Dd 1425+;ke-*83-*18 , ;1
KN Dd 1429+;u-ta-jo , za-ra-ro , pa-i-to , ;3
KN Dd 1468+;a-te-i-ja-ta , ku-ta-to , ;2
KN Dd 1511+;o-na-jo , tu-ni-ja , ;2
KN Dd 1579+;we-we-si-jo , da-ra-ko , ;2
KN Dd 1592+;u-ta-no , ra-to , ;2
KN Dd 2010+;di-ka-ta-ro , su-ri-mo , ;2
KN Dd 5012;;1
KN Dd 5174+;da-na-ro , pa-i-to , ;2
KN Dd 5262;;1
KN Dd 5344+;su-ri-mo , ;1
KN Dd 5383+;;1
KN Dd 5692;;1
KN Dd 7105+;;1
KN Dd 7106+;e-ra , ;1
KN Dd 7170;;1
KN Dd 8690;;1
KN De 1084;a-ka-i-jo , ko-ti , pa-i-to , ;3
KN De 1109;u-ta-jo , te-to , ku-ta-to , ;3
KN De 1112;a-ko-mo-ni-jo , ku-ta-to , ;2
KN De 1136+;u-ta-jo , we-ra-to , e-ko-so , ;3
KN De 1138+;u-ta-jo-jo , si-ta-ro , da-wo , ;3
KN De 1141;u-ta-jo-jo , ;1
KN De 1151;we-we-si-jo , su-di-ni-ko , da-*22-to , ;3
KN De 1152;we-we-si-jo-jo , ko-ro , da-*22-to , ;3
KN De 1153+;we-we-si-jo-jo , da-ta-ja-ro , da-*22-to , ;3
KN De 1231;da-i-ta-ra-ro , ti-ri-to , pe-ri-qo-te-jo , ;3
KN De 1254;ku-ja-ro , qa-ra , ;2
KN De 1255+;me-ri-wa-ta , qa-ra , ;2
KN De 1260;ka-mi-ni-to , qa-ra , ;2
KN De 1264+;qi-si-ta , qa-ra , ;2
KN De 1269+;ta-u-na-so , qa-ra , ;2
KN De 1287;ka-wa-ro , (ru)-ki-to , ;2
KN De 1294+;qe-da-do-ro , ru-ki-to , ;2
KN De 1301;a-te-jo , ja-ti-ri , do-ti-ja , ;3
KN De 1307+;a-te-jo , a-ra-ko , do-ti-ja , ;3
KN De 1322;qo-te-jo , ;1
KN De 1361+;ta-po-si-jo , (da)-(wo) , ;2
KN De 1362+;a-nu-mo , qa-ra , ;2
KN De 1381+;e-me-si-jo , mo-qo-so , pu-na-so , ;3
KN De 1383+;u-ta-jo-jo , ku-ta-to , ;2
KN De 1398+;se-do , ra-ja , u-ta-jo , ;3
KN De 1409+;ta-de-so , e-ko-so , ;2
KN De 1424+;ja-ra-to , (qa)-ra , ;2
KN De 1472+;a-ko-mo-ni-jo , ku-ta-to , ;2
KN De 1510+;a-te-jo , o-ra , do-ti-ja , ;3
KN De 1585;;1
KN De 1618+;]-(jo) , ta-na-to , e-ko-so , ;3
KN De 1648;we-we-si-jo-jo , a-te-mo , ku-ta-to , ;3
KN De 5018+;ka-da-i-so , do-ti-ja , ;2
KN De 5032+;ta-di-*22-so , qa-ra , ;2
KN De 5336+;su-ri-mo , u-ta-jo-jo , ;2
KN De 6060;pe-(ri) , pe-po-ro , ri-(jo)-(no) , ;3
KN De 7096+;a-ke-u , ra-ja , ;2
KN De 7203+;u-ta-jo-jo , e-ra , ;2
KN Df 1119;de-ke-se-u , da-mi-ni-jo , ku-ta-to , ;3
KN Df 1120;da-mi-ni-jo , u-*56 , ku-ta-to , ;3
KN Df 1121+;da-mi-ni-jo , ti-mi-za , ku-ta-to , ;3
KN Df 1187+;ri-jo , ra-to , ;2
KN Df 1210+;ku-do , ri-jo-no , ;2
KN Df 1219;ka-*56-no , *56-ko-we , ;2
KN Df 1222+;de-a-ta , *56-ko-we , ;2
KN Df 1223+;ko-ro-da-(mo) , *56-ko-we , ;2
KN Df 1229+;a-ra-si-jo , *56-ko-we , ;2
KN Df 1230+;ka-pte , *56-ko-we , ;2
KN Df 1233;pu-nu-so , ti-ri-to , ;2
KN Df 1285;ta-de-so , ru-ki-to , ;2
KN Df 1290;sa-sa-jo , ru-ki-to , ;2
KN Df 1325+;a-re-ta , su-ki-ri-ta , ;2
KN Df 1360+;qe-ri , do-ti-ja , ;2
KN Df 1469+;a-si-wi-jo , ru-ki-to , ;2
KN Df 1589;;1
KN Df 1602+;te-mi , ra-to , ;2
KN Df 5182+;(ko)-we , ;1
KN Df 5198+;(wi)-na-jo , ra-[ , ki-ri-jo-te , ;3
KN Df 5211+;ku-jo , ra-to , ;2
KN Df 5260+;tu-ni-ja , ;1
KN Df 5275+;ri-jo-no , ;1
KN Df 5391+;su-ri-(mo) , ;1
KN Df 5406+;jo-(ro) , (ra)-(su)-(to) , ;2
KN Df 7173;(si)-[ , ]-(wo) , (*56)-[ , ]-we , ;4
KN Df 7188;;1
KN Dg 1101;qa-i-po , su-ri-mo , ;2
KN Dg 1102;a-tu-ko , su-ri-mo , ;2
KN Dg 1107+;a-du-ru-po-to , su-ri-mo , ;2
KN Dg 1158;a-ni-ja-to , we-we-si-jo , pa-i-to , ;3
KN Dg 1235+;qa-ra2-ti-jo , ti-ri-to , ;2
KN Dg 1278;ti-ja , ru-ki-to , ;2
KN Dg 1280;si-ni-to , ru-ki-to , ;2
KN Dg 1316;si-ta-ro , qa-mo , ;2
KN Dg 1318;(ta)-ro , qa-mo , ;2
KN Dg 1438+;ru-ma-no , (su)-ri-mo , ;2
KN Dg 5280+;;1
KN Dg 1101;qa-i-po , su-ri-mo , ;2
KN Dg 1102;a-tu-ko , su-ri-mo , ;2
KN Dg 1107+;a-du-ru-po-to , su-ri-mo , ;2
KN Dg 1158;a-ni-ja-to , we-we-si-jo , pa-i-to , ;3
KN Dg 1235+;qa-ra2-ti-jo , ti-ri-to , ;2
KN Dg 1278;ti-ja , ru-ki-to , ;2
KN Dg 1280;si-ni-to , ru-ki-to , ;2
KN Dg 1316;si-ta-ro , qa-mo , ;2
KN Dg 1318;(ta)-ro , qa-mo , ;2
KN Dg 1438+;ru-ma-no , (su)-ri-mo , ;2
KN Dg 5280+;;1
KN Dh 1240;ko-ku , ti-ri-to , ;2
KN Dh 1243;e-to , tu-ri-so , ;2
KN Dh 1406+;su-ma-no , ti-ri-to , ;2
KN Dh 1646+;ka-ni-to , e-ko-so , ;2
KN Dh 7128+;u-ta-no , ;1
KN Dh 7231+;(i)-so , ;1
KN Dk 671;;1
KN Dk 727;e-ko-so , da-ro , ;2
KN Dk 920+;ko-ma-we-to , ni-ja-so , da-*22-to , ;3
KN Dk 925;ko-we-jo , ;1
KN Dk 931+;ko-ma-we-to , sa-jo , ;2
KN Dk 936;qi-ta-ro , da-ra-ko , ;2
KN Dk 945;ku-mo-no , pa-ro , ;2
KN Dk 951;;1
KN Dk 964;da-to-ro , su-(ri) , ;2
KN Dk 969;si-ja-du-we , ki-to , a-ko-ra , ;3
KN Dk 1049;ko-ma-we-te , ra-su-to , ;2
KN Dk 1064;a-te-i-ja-ta , ku-ta-to , ;2
KN Dk 1065;ka-da-no , ku-ta-to , ;2
KN Dk 1066;(te)-u , ku-ta-to , ;2
KN Dk 1067+;a-ko-mo-ni-jo , ku-ta-to , ;2
KN Dk 1068;ku-ta-to , ]-*49-so , ;2
KN Dk 1069;ku-ta-to , ;1
KN Dk 1070;za-ra-ro , ku-ta-to , ;2
KN Dk 1071;wo-wo , ku-ta-to , ;2
KN Dk 1072;ka-te-u , ku-ta-to , ;2
KN Dk 1073;ka-mi-ni-to , ku-ta-to , ;2
KN Dk 1074;e-ru-to-ro , ku-ta-to , ;2
KN Dk 1075;di-ra-qo , ku-ta-to , ;2
KN Dk 1076+;ti-mi-za , da-mi-ni-jo , ;2
KN Dk 1077+;i-ke-se-ra , da-mi-ni-jo , ;2
KN Dk 1320;da-mi-ni-jo , ;1
KN Dk 1399;se-u , da-mi-ni , ;2
KN Dk 1491;wa-du-na-ro , ;1
KN Dk 1565;;1
KN Dk 1567;;1
KN Dk 1613+;ku-ta-to , ;1
KN Dk 2129+;;1
KN Dk 5183;;1
KN Dk 5201+;ka-ta-(wo) , (da)-(mi)-(ni)-(jo) , ;2
KN Dk 5233+;ku-ta-to , ;1
KN Dk 5403+;;1
KN Dk 5464;;1
KN Dk 5566;(ni)-jo , ;1
KN Dk 5731;;1
KN Dk 5733;;1
KN Dk 5768;;1
KN Dk 7117;;1
KN Dk 7144;;1
KN Dk 7204+;mi-ni-jo , ;1
KN Dk 7295;;1
KN Dk 7297;;1
KN Dk 7299;;1
KN Dk 7300;ru-wo , ;1
KN Dk 7301;;1
KN Dk 7303;;1
KN Dk 7304;;1
KN Dk 7306+;;1
KN Dk 7308;;1
KN Dk 7311;;1
KN Dk 7313;;1
KN Dk 7314+;;1
KN Dk 7315;;1
KN Dk 7316;;1
KN Dk 7322;;1
KN Dk 7323;;1
KN Dk 7325;;1
KN Dk 7327;;1
KN Dk 7328;;1
KN Dk 7329;;1
KN Dk 7781;;1
KN Dk 7899;;1
KN Dk 7902;]-ki-ro , ;1
KN Dk 8018;;1
KN Dk 8209;a-nu-ko , da-mi-ni-jo , ;2
KN Dk 8353;;1
KN Dk 8403;;1
KN Dk 8463;;1
KN Dk 8464;;1
KN Dl 47;;1
KN Dl 412;sa-qa-re-jo , ka-ru-no , ;2
KN Dl 413;;1
KN Dl 414+;;1
KN Dl 463;mi-ti , ku-ta-to , ;2
KN Dl 790;e-ko-so , ;1
KN Dl 791;e-ko-so , ;1
KN Dl 792+;o-ku , e-ko-so , ;2
KN Dl 794+;sa-qa-re-jo , *56-ko-we-e , ;2
KN Dl 916;di-ta-ka-so , e-ko-so , ;2
KN Dl 928;ra-wo-qo-no-jo , *56-na-ro , da-wo , ;3
KN Dl 930+;po-ti-ni-ja-we-jo , (ma)-di-qo , si-ja-du-we , ;3
KN Dl 932+;sa-qa-re-jo , a-ko-ro , e-pe-ke , qa-ra2-ro , ma-so-mo , ;5
KN Dl 933+;po-ti-ni-ja-we-jo , ]-*83-re-to , si-ja-du-we , ;3
KN Dl 934+;e-ko-so , ;1
KN Dl 935+;sa-qa-re-jo , nu-ka , da-ta-ra-mo , ;3
KN Dl 938;(re)-jo , ;1
KN Dl 939;;1
KN Dl 940+;sa-qa-re-jo , ]-so , e-ra , ;3
KN Dl 943;po-ti-ni-ja-we , a-ko-i-da , qa-nwa-so , ;3
KN Dl 944;sa-qa-re-jo , ta-mi-de-so , e-ra , ;3
KN Dl 946;po-ti-ni-ja-we-jo , ke-u-sa , si-ja-du-we , ;3
KN Dl 947+;e-se-re-e-jo , si-da-jo , ma-ri , ;3
KN Dl 948+;sa-qa-re-jo , pa-za-ti , ma-ri , ;3
KN Dl 949+;e-se-re-e-jo , i-pe-ta , su-ri-mo , ;3
KN Dl 950;(ja)-we-jo , ;1
KN Dl 952+;sa-(qa) , ;1
KN Dl 1046+;(e)-(se)-re-e-jo , ra-su-to , ;2
KN Dl 1060;]-ra , ;1
KN Dl 1061;]-sa , pa-ti-ti-ja , ;2
KN Dl 2021;;1
KN Dl 5530;;1
KN Dl 5535;;1
KN Dl 5545;;1
KN Dl 7071;ri-jo-no , ;1
KN Dl 7072;;1
KN Dl 7085+;;1
KN Dl 7086;(e)-ko-so , to-sa-(wa) , ;2
KN Dl 7092;;1
KN Dl 7114+;;1
KN Dl 7116;;1
KN Dl 7125;ri-jo-no , ;1
KN Dl 7132+;(qa)-re-jo , ;1
KN Dl 7134+;do-ti-jo , a-te-jo , ;2
KN Dl 7138+;sa-qa-re-jo , a-ko-ro , ra-ja , ;3
KN Dl 7141+;sa-qa-(re) , ti-za , *56-ko-we-e , ;3
KN Dl 7147+;po-ti-ni-(ja)-we-jo , ka-ru-no , ;2
KN Dl 7238;;1
KN Dl 7249+;;1
KN Dl 7251;;1
KN Dl 7283;;1
KN Dl 7287;;1
KN Dl 7288;;1
KN Dl 7503+;po-ti-ni-ja-we-jo , te-wa-jo , si-ja-du-we , ;3
KN Dl 7721;(e)-se-(re)-(e)-(jo) , (ma)-so-mo , ;2
KN Dl 7771;po-ti-(ni) , qo-ta , ra-ja , ;3
KN Dl 7865;;1
KN Dl 7905;ja-du-we , ;1
KN Dl 8103;e-ko-so , ;1
KN Dl 8177;pa-re , ;1
KN Dl 8216;;1
KN Dl 8217;;1
KN Dl 8229;;1
KN Dl 8577;;1
KN Dl 9016;ni-ja , ;1
KN Dl 9174;]-to , ;1
KN Dl 9175;;1
KN Dl 9176;;1
KN Dl 9177;;1
KN Dl 9180;;1
KN Dl 9181;;1
KN Dl 9199;qa-ra , ;1
KN Dl 9667;;1
KN Dl 9841;(qo)-(no)-(jo) , ;1
KN Dl 9862;ra-ja , ;1
KN Dm 1174+;a3-mi-re-we , ri-jo-no , e-ka-ra-e-we , ;3
KN Dm 1175+;a3-mi-re-we , ra-su-to , e-ka-ra-e-we , ;3
KN Dm 1176+;a3-mi-re-we , ku-ta-to , e-ka-ra-e-we , ;3
KN Dm 1177;a3-mi-re-we , ru-ki-to , e-ka-ra-e-we , ;3
KN Dm 1178;a3-mi , e-ka-ra-e-we , ;2
KN Dm 1179+;a3-mi-re-we , ta-to , e-ka-ra-e-we , ;3
KN Dm 1180;a3-mi-re-we , pa-i-to , e-ka-ra-e-we , ;3
KN Dm 1181+;a3-mi-re-we , do-ti-ja , e-ka-ra-e-we , ;3
KN Dm 1182;to-u-na-ta , e-ka-ra-e-we , ;2
KN Dm 1183+;e-ka-ra-e-we , ku-ta-to , ;2
KN Dm 1184+;e-ka-ra-e-we , pa-i , o-we-to , o-pa , ;4
KN Dm 5181;*56-ko-we-i , e-ka , ;2
KN Dm 5226+;e-ko-so , e-ka-ra-e-we , ;2
KN Dm 5237+;a3-mi-re-we , ra-to , e-ka-(ra)-(e)-(we) , ;3
KN Dm 5323+;a3-mi-re-we , (e)-ka-ra-e-we , ;2
KN Dn 1088;;1
KN Dn 1089+;(su)-ri-mo , ;1
KN Dn 1090;;1
KN Dn 1092+;e-ko-so , su-ki-ri-ta , ;2
KN Dn 1093;da-*22-to , *56-ko-we-i , ;2
KN Dn 1094;pa-i-to , da-wo , ;2
KN Dn 1095+;ti-ri-(to) , qa-ra , ;2
KN Dn 1096+;ra-ja , pu-na-so , ;2
KN Dn 1200;do-ti-ja , ra-su-to , ;2
KN Dn 1209;ri-jo-no , ra-to , ;2
KN Dn 1319+;mi-ni-si-ja , ;1
KN Dn 2016+;]-jo-jo , ;1
KN Dn 5014+;;1
KN Dn 5286+;(ka)-ta , ;1
KN Dn 5318+;ru-ki-to , pu-(so) , a-ka , ;3
KN Dn 5559;u-ta-no , qa-mo , ;2
KN Dn 5668;qo-te-jo , ;1
