identifier;inscription;numberOfCharacters
KN Ak 5893+;me-zo-e , ;1
KN Ak 5907;me-wi-jo-e , ;1
KN Ak 5918;(ta)-jo-jo , (me)-zo-e , ;2
KN Ak 5926+;(me)-zo-e , ko-wo , me-(wi) , ;3
KN Ak 5940+;ko-wa , me-wi-jo , ;2
KN Ak 5948;;1
KN Ak;ko-wo , ;1
KN Ak 7001;(ke)-ti-ri-ja , (wi)-jo-e , ko-wa , ;3
KN Ak 7002;me-zo-e , ko-wo , ;2
KN Ak 7003;;1
KN Ak 7005;di-(da) , (ka)-re , ko-(wa) , ko-(wo) , ;4
KN Ak 7006;;1
KN Ak 7007;ko-wo , ;1
KN Ak 7008;ko-(wo) , ;1
KN Ak 7009;me-zo , (me)-u-jo-e , ;2
KN Ak 7010;(zo)-e , me-u-jo-e , ;2
KN Ak 7012;(jo)-e , ;1
KN Ak 7013;ko-wa , ko-wo , ;2
KN Ak 7015;ko-wa , ;1
KN Ak 7016;ko-wo , ;1
KN Ak 7018;ko-wo , ;1
KN Ak 7019;ko-wa , ;1
KN Ak 7020;me-u-(jo) , (me)-u-jo , ;2
KN Ak 7021;ko-(wo) , ;1
KN Ak 7022+;]-ki , ko-wa , me-zo-(e) , ko-wa , ko-(wo) , ko-wo , me-(wi)-jo-e , e-ra , ;8
KN Ak 7028;;1
KN Ak 7030+;(me)-wi-jo-e , ;1
KN Ak 7031;;1
KN Ak 7827;(jo)-jo , ;1
KN Ak 7830;;1
KN Ak 8218+;ko-wa , ko-[ , ;2
KN Ak 8334+;ko-wa , (u)-(jo)-e , ko-(wo) , ;3
KN Ak 8337;ko-wo , ;1
KN Ak 8338;;1
KN Ak 8341;;1
KN Ak 8444;;1
KN Ak 8622+;wa-ko , ;1
KN Ak 8726;;1
KN Ak 8795;;1
KN Ak 9001+;zo-e , ;1
KN Ak 9002;me-zo-e , ;1
KN Ak 9173+;we-si-(jo) , ko-wa , ko-wo , ;3
KN Ak 9407;(ko)-wa , ko-(wo) , ;2
KN Ak 9409;(me)-zo , ;1
KN Ak 9410;(u)-(jo)-(e) , ;1
KN Ak 9417;;1
KN Ak 9485;(me)-u-jo , ;1
KN Ak 9499;;1
KN Ak 9500;;1
KN Ak 9522;(u)-(jo)-(e) , (u)-(jo) , ;2
KN Am 568;to-so , da-wi-jo , ;2
KN Am 597;(i)-ta , ;1
KN Am 600+;to-so , e-te , e-so-to , a-mo-ra-ma , ko-no-si-jo , ;5
KN Am 601;e-te , e-so-to , a-mo-ra-ma , to-so , a-mi-ni-si-jo , ;5
KN Am 819;we-ke-i-ja , ko-wo , (qa)-ra , si-to , ;4
KN Am 821;ra-jo , e-qe-ta-e , e-ne-ka , (e)-mi-to , ki-ta-ne-to , su-ri-mo , e-ne-ka , o-pa , ;8
KN Am 826;a-pa-ta-wa-jo , te-re-ta , ;2
KN Am 827+;si-mi-te-u , a-wa-ti-ka-ra , ko-wo , ;3
KN Am 2009;;1
KN Am 5755;se-to-i-(ja) , ;1
KN Am 5882+;]-so , ka-ma-jo , ;2
KN Am 568;to-so , da-wi-jo , ;2
KN Am 597;(i)-ta , ;1
KN Am 600+;to-so , e-te , e-so-to , a-mo-ra-ma , ko-no-si-jo , ;5
KN Am 601;e-te , e-so-to , a-mo-ra-ma , to-so , a-mi-ni-si-jo , ;5
KN Am 819;we-ke-i-ja , ko-wo , (qa)-ra , si-to , ;4
KN Am 821;ra-jo , e-qe-ta-e , e-ne-ka , (e)-mi-to , ki-ta-ne-to , su-ri-mo , e-ne-ka , o-pa , ;8
KN Am 826;a-pa-ta-wa-jo , te-re-ta , ;2
KN Am 827+;si-mi-te-u , a-wa-ti-ka-ra , ko-wo , ;3
KN Am 2009;;1
KN Am 5755;se-to-i-(ja) , ;1
KN Am 5882+;]-so , ka-ma-jo , ;2
KN Am 568;to-so , da-wi-jo , ;2
KN Am 597;(i)-ta , ;1
KN Am 600+;to-so , e-te , e-so-to , a-mo-ra-ma , ko-no-si-jo , ;5
KN Am 601;e-te , e-so-to , a-mo-ra-ma , to-so , a-mi-ni-si-jo , ;5
KN Am 819;we-ke-i-ja , ko-wo , (qa)-ra , si-to , ;4
KN Am 821;ra-jo , e-qe-ta-e , e-ne-ka , (e)-mi-to , ki-ta-ne-to , su-ri-mo , e-ne-ka , o-pa , ;8
KN Am 826;a-pa-ta-wa-jo , te-re-ta , ;2
KN Am 827+;si-mi-te-u , a-wa-ti-ka-ra , ko-wo , ;3
KN Am 2009;;1
KN Am 5755;se-to-i-(ja) , ;1
KN Am 5882+;]-so , ka-ma-jo , ;2
KN Ap 618+;a-pe-a-sa , i-ta-mo , do-ti-ja , ki-nu-qa , *56-ko-we , (ti)-wa-ti-ja , a-*79 , a-no-qo-ta , ko-ma-we-to , we-ra-te-ja , ;10
KN Ap 628+;(i)-ja , a-ke-wo , do-e-ra , do-e-ra , di-qa-ra , ne-o , do-e-ra , ;7
KN Ap 629;tu-ni-ja , ri-jo-no , ko-wo , do-ti-ja , ;4
KN Ap 637;(a)-ke-si-ja , ka-(ma) , ko-so-jo , (da)-[ , ;4
KN Ap 639;]-me-no , tu-zo , ko-pi , a-to-me-ja , da-te-ne-ja , pa-ja-ni , wo-di-je-ja , ko-wo , du-sa-ni , ma-ku , pa-i-ti-ja , pi-ra-ka-ra , *18-to-no , wi-so , e-ra-ja , ko-wa , ko-wo , to-sa , ko-wa , ko-(wo) , ke-ra-me-ja , ko-wo , tu-*49-mi , i-du , tu-ka-to , e-ti-wa-ja , sa-ma-ti-ja , (si)-[ , ku-tu-qa-no , wi-da-ma-ta , ka-na-to-po , sa-ti-(qi)-(to) , tu-ka-na , sa-*65 , u-jo-na , sa-mi , (a)-de-ra2 , tu-ka-na , pu-wa , si-nu-ke , qi-ti-ta , si-ne-e-ja , u-pa-ra , ru-ta , (du)-tu-wa , ko-wa , ke-pu , ko-wa , wa-ra-ti , ]-(ja)-si-ja , a-nu-wa-to , ;51
KN Ap 694;ko-u-re-ja , ka-ra-we , a-ze-ti-ri-ja , ;3
KN Ap 769;(i)-ta-no , ka-*56-so-ta , a2-du-wo-na , wi-ja-na-tu , i-ta-ja , ;5
KN Ap 5077;e-ke , ko-wo , ;2
KN Ap 5547+;ja-mi-nu , ;1
KN Ap 5748+;ki-zo , (a)-ma-no-[ , o-ri-mo , pu-zo , ti-no , pi-ja-mu-nu , ni-ta , o-sa-po-to , ;8
KN Ap 5864;]-(u)-(ra) , (tu)-ka-na , te-qa-ja , ja-mu-(ta) , ]-ta , ;5
KN Ap 5868+;(no)-(si)-ja , to-sa , ko-wo , ka-ra-we , e-u-[ , ;5
KN Ap 5876+;ko-wo , qa-mi-ja , ko-wa , ko-wo , ri-jo-no , ko-wo , ;6
KN Ap 618+;a-pe-a-sa , i-ta-mo , do-ti-ja , ki-nu-qa , *56-ko-we , (ti)-wa-ti-ja , a-*79 , a-no-qo-ta , ko-ma-we-to , we-ra-te-ja , ;10
KN Ap 628+;(i)-ja , a-ke-wo , do-e-ra , do-e-ra , di-qa-ra , ne-o , do-e-ra , ;7
KN Ap 629;tu-ni-ja , ri-jo-no , ko-wo , do-ti-ja , ;4
KN Ap 637;(a)-ke-si-ja , ka-(ma) , ko-so-jo , (da)-[ , ;4
KN Ap 639;]-me-no , tu-zo , ko-pi , a-to-me-ja , da-te-ne-ja , pa-ja-ni , wo-di-je-ja , ko-wo , du-sa-ni , ma-ku , pa-i-ti-ja , pi-ra-ka-ra , *18-to-no , wi-so , e-ra-ja , ko-wa , ko-wo , to-sa , ko-wa , ko-(wo) , ke-ra-me-ja , ko-wo , tu-*49-mi , i-du , tu-ka-to , e-ti-wa-ja , sa-ma-ti-ja , (si)-[ , ku-tu-qa-no , wi-da-ma-ta , ka-na-to-po , sa-ti-(qi)-(to) , tu-ka-na , sa-*65 , u-jo-na , sa-mi , (a)-de-ra2 , tu-ka-na , pu-wa , si-nu-ke , qi-ti-ta , si-ne-e-ja , u-pa-ra , ru-ta , (du)-tu-wa , ko-wa , ke-pu , ko-wa , wa-ra-ti , ]-(ja)-si-ja , a-nu-wa-to , ;51
KN Ap 694;ko-u-re-ja , ka-ra-we , a-ze-ti-ri-ja , ;3
KN Ap 769;(i)-ta-no , ka-*56-so-ta , a2-du-wo-na , wi-ja-na-tu , i-ta-ja , ;5
KN Ap 5077;e-ke , ko-wo , ;2
KN Ap 5547+;ja-mi-nu , ;1
KN Ap 5748+;ki-zo , (a)-ma-no-[ , o-ri-mo , pu-zo , ti-no , pi-ja-mu-nu , ni-ta , o-sa-po-to , ;8
KN Ap 5864;]-(u)-(ra) , (tu)-ka-na , te-qa-ja , ja-mu-(ta) , ]-ta , ;5
